date,SPY_BH,60_40,FRAR,FRAR_Net,FRAR_Quad,FRAR_Quad_Net
2023-01-03,4.185403227114939,3.3065296791743433,4.52661707109746,4.33780117375647,5.6858217853807105,5.254028423267974
2023-01-04,4.217715199582456,3.339965708578907,4.576555435227115,4.3856128113811135,5.748548681478821,5.311893636624966
2023-01-05,4.169576620208755,3.322679194919079,4.572749624362166,4.381922143663282,5.743768254509391,5.307378341080483
2023-01-06,4.265194671382231,3.3928478699343647,4.649575171929397,4.455497274264968,5.840267773945361,5.39644655961739
2023-01-09,4.262776664242306,3.3989189269984066,4.667584517870223,4.472710345408456,5.862889067039626,5.417248771686688
2023-01-10,4.29266958281356,3.3907187621640293,4.623588772476133,4.430507319691019,5.807626613048763,5.366087766799419
2023-01-11,4.346963438371305,3.4384926480988947,4.669440598818852,4.474399806350455,5.865220464930676,5.419202856512629
2023-01-12,4.3627896963587105,3.4730745581653375,4.738693021543342,4.540714357141107,5.952207485841157,5.499473462737448
2023-01-13,4.379715048500627,3.4681379900254754,4.720289972788917,4.523035124518072,5.929091668028019,5.478014733240227
2023-01-17,4.371692707929031,3.455359714793462,4.694421275915397,4.498202646563591,5.8965983517318366,5.447892882539978
2023-01-18,4.302672037457172,3.4561190379180444,4.767725550147354,4.568397430087563,5.988674847897334,5.532860609329503
2023-01-19,4.271349598647494,3.4323695256820352,4.765217421217153,4.5659486851237245,5.985524421455713,5.529847877198647
2023-01-20,4.350920875165104,3.448477286646439,4.71396245984389,4.516792084297128,5.921143765569066,5.470267512082963
2023-01-23,4.403124707235381,3.4668086166986956,4.700090169495123,4.5034551756974714,5.903718971415003,5.454068866430254
2023-01-24,4.398398602370983,3.484517503575004,4.74541640463505,4.546839837899356,5.960652635376422,5.506564578706349
2023-01-25,4.400047941440308,3.4886812957493825,4.757114221542589,4.558002752027063,5.975346103184635,5.520036772451908
2023-01-26,4.448405990726133,3.505194528720337,4.732272451836791,4.5341555886667075,5.944142696056939,5.491109624089644
2023-01-27,4.45862721744431,3.5064886474491797,4.722835254555441,4.525068411968004,5.932288761639149,5.480057963820545
2023-01-30,4.402685069573577,3.474964991902002,4.707344346875827,4.510181259906333,5.9128308443961695,5.461982524142759
2023-01-31,4.467419272842842,3.516733735091824,4.758706997038879,4.559347219810395,5.9773209393469635,5.521453366047956
2023-02-01,4.514898744642616,3.556069300131414,4.782791720263784,4.582377306188306,6.023512350567064,5.564019209670447
2023-02-02,4.580621783732162,3.588969486859039,4.780312525478707,4.57995638276816,6.032244655215948,5.5719825146153354
2023-02-03,4.5319343551187625,3.544610529885895,4.7404903705052,4.541758050187129,5.967154784921497,5.511757262465816
2023-02-06,4.504237531343855,3.5211154506121027,4.726657972749096,4.528460436519692,5.935516678168656,5.4824324748422875
2023-02-07,4.56314653559421,3.5374423748064374,4.762244371860799,4.562509190775711,6.020651422845888,5.560965840773428
2023-02-08,4.513250103410848,3.520968018522708,4.733401687285792,4.5348310432140435,5.968837326176265,5.513006044284747
2023-02-09,4.47412374718536,3.4893113256226105,4.693123169996294,4.49619746684617,5.927147848572245,5.474399260986714
2023-02-10,4.484564792734439,3.4785792759141634,4.731686080068948,4.533097110486437,5.972663450872215,5.516336284190132
2023-02-13,4.537209309222858,3.5147892213436944,4.768425217702097,4.568248807402579,6.014045719328641,5.554454291248174
2023-02-14,4.535121030329287,3.5105821948201448,4.753761962693889,4.554155751507938,6.025546695837448,5.564973625188794
2023-02-15,4.549848891999739,3.5043279202763284,4.745721196167171,4.5464073288101945,6.00288467207527,5.5439414589965175
2023-02-16,4.487202967624046,3.4555182612420694,4.698610539862638,4.501230425495498,5.926778135090052,5.473552500477803
2023-02-17,4.475992207248029,3.4610869736577925,4.698971515662779,4.501531403543596,5.877909710393863,5.428320865954336
2023-02-21,4.3861993550934635,3.3925174577831836,4.628238716064243,4.433726477058522,5.78473961329133,5.342178523553184
